name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Qatar,2.1595E+12,0.0037081,792557,1,0.27,0.72,0,0,98990085,1.79%,2654374,37.29,0.28%,0,0,0,0,0,,2016,Tons ,,0,871585000,6000937,1418356,0,4375175,,2015,Million Cubic Ft,4375175,4582580,25244000000,1987193,172000,0,503415,,2016,Barrels,503415,1815193
Iraq,1.86589E+12,0.003204,49687,0.97,0.92,0.05,0,0.03,162646160,1.22%,36610632,4.44,0.45%,0,0,0,0,0,,2016,Tons ,,0,111522000,885029,35386,0,0,,2015,Million Cubic Ft,0,849644,1.43069E+11,4443457,857000,1,3576637,,2016,Barrels,3576636,3586457
Philippines,1.83213E+12,0.003146,17420,0.88,0.47,0.06,0.36,0.12,126922662,12.37%,103663816,1.22,0.35%,348329960,13323621,22372484,22079269,7533187,14546083,2016,Tons ,,-9048863,3480000,108770,91819,0,0,,2015,Million Cubic Ft,0,16951,138500000,33258,429000,236907,14774,222133,2016,Barrels,,-395742
Algeria,2.39845E+12,0.0041184,57949,0.99,0.35,0.65,0,0.01,156220560,0.17%,40551392,3.85,0.44%,65036290,0,27321,27321,0,27321,2016,Tons ,,-27321,159054000,6491745,1399216,0,1533342,,2015,Million Cubic Ft,1533342,5092529,12200000000,1698786,429000,139,633800,,2016,Barrels,633661,1269786
Belgium,2.68469E+12,0.00461,235091,0.78,0.51,0.23,0.04,0.22,94722813,1.53%,11354420,8.34,0.26%,0,0,4035557,3872415,72752,3799663,2016,Tons ,,-4035557,0,0,605158,664381,59824,604557,2015,Million Cubic Ft,,-605158,0,24423,631522,641794,0,641794,2016,Barrels,,-607099
Norway,1.90137E+12,0.0032649,358999,0.32,0.23,0.08,0.01,0.68,43456012,0.85%,5250949,8.28,0.12%,1102310,901690,824528,727525,1005307,,2016,Tons ,277782,77162,72358000,5763408,184697,0,3954221,,2015,Million Cubic Ft,3954221,5578711,5138767000,2003748,204090,9927,1394501,,2016,Barrels,1384574,1799657
Pakistan,3.18344E+12,0.0054664,15312,0.87,0.37,0.43,0.07,0.13,178013820,9.13%,203631353,0.87,0.50%,3377477840,4506243,10199674,7107758,120,7107638,2016,Tons ,,-5693431,24700000,1454978,1436261,48382,0,48382,2015,Million Cubic Ft,,18717,353500000,88262,556000,140097,4896,135201,2016,Barrels,,-467738
Vietnam,3.24251E+12,0.0055678,34276,0.8,0.28,0.09,0.43,0.2,206042140,0.09%,93640422,2.2,0.58%,3703761600,42468697,56641097,14693792,1546342,13147450,2016,Tons ,,-14172400,24700000,365157,320660,0,0,,2015,Million Cubic Ft,0,44497,4400000000,313633,478000,8712,157615,,2016,Barrels,148903,-164367
Italy,6.77161E+12,0.0116277,111607,0.84,0.37,0.4,0.06,0.16,358139550,0.84%,60663060,5.9,1.00%,18739270,0,18787634,18418223,81080,18337143,2016,Tons ,,-18787634,1985000,239118,2384575,2163609,7805,2155804,2015,Million Cubic Ft,,-2145457,579232000,150147,1236628,1217209,16717,1200492,2016,Barrels,,-1086482
Indonesia,7.15869E+12,0.0122924,27050,0.96,0.45,0.23,0.28,0.04,530035650,6.41%,261556381,2.03,1.48%,24910001380,502653360,102623737,3929046,406630277,,2016,Tons ,402701230,400029623,103350000,3143035,1501241,0,1069691,,2015,Million Cubic Ft,1069691,1641794,3692500000,945637,1623000,398645,336816,61829,2016,Barrels,,-677363
United Kingdom,8.19085E+12,0.0140647,122751,0.8,0.39,0.36,0.05,0.2,367860350,-6.38%,66297944,5.55,1.03%,77000000,4605231,41459830,9362712,489094,8873619,2016,Tons ,,-36854599,8502000,1675238,2543775,1571623,502285,1069338,2015,Million Cubic Ft,,-868537,2754685000,1083928,1583896,797631,620188,177443,2016,Barrels,,-499968
Mexico,7.86885E+12,0.0135118,63063,0.92,0.5,0.36,0.06,0.08,441412750,-2.13%,123333376,3.58,1.23%,1334897410,13852746,22478332,9127352,2864,9124488,2016,Tons ,,-8625586,16549000,2336370,2756000,1287973,1095,1286879,2015,Million Cubic Ft,,-419630,9711000000,2484355,2052607,0,1236469,,2016,Barrels,1236469,431748
Saudi Arabia,1.09975E+13,0.019,332238,1,0.63,0.37,0,0,517079407,0.92%,32443447,15.94,1.45%,0,0,122987,123384,397,122987,2016,Tons ,,-122987,294205000,4231796,3614137,0,0,,2015,Million Cubic Ft,0,617659,2.66578E+11,12402761,3302000,1,7333557,,2016,Barrels,7333556,9100761
Brazil,1.25664E+13,0.022,60464,0.64,0.48,0.1,0.05,0.36,462994920,-6.08%,206163053,2.25,1.29%,7270836760,7721682,27275972,24291988,1706,24290282,2016,Tons ,,-19554290,16172000,1238144,1391058,670279,66,670213,2015,Million Cubic Ft,,-152914,16184100000,3242958,2984000,177352,832473,,2016,Barrels,655121,258958
